locale,segment_hash,source_text,translated_text,occurrences,sample_locations
it-CH,d3fc482ae403ae61453314db5e1afe8d06d9c1b13f49faaa735f07f30a1a9dd7,-1sin(-1x +1),-1sin(-1x +1),2,KS5_merged_deduped.jsonl:ks5_0632fe1a58:options[0] | KS5_merged_deduped.jsonl:ks5_ec914a799f:options[3]
it-CH,7db694b57655e0c02b0418b0cd8577576decca0c7f720b7a04d721557ab8e7d3,-1sin(-1x +2),-1sin(-1x +2),1,KS5_merged_deduped.jsonl:ks5_40743198f2:options[0]
it-CH,ddd2cb51558548bab4c7181c09d1510175844ce58bc31a6a28ecff5dc6a4c41d,-1sin(-1x +3),-1sin(-1x +3),2,KS5_merged_deduped.jsonl:ks5_4cda8d07a7:options[1] | KS5_merged_deduped.jsonl:ks5_152a232bff:options[0]
it-CH,3676fbaa6e8339e8b417a73448c59d7e4fdd67763332276db474dfd55c511f2d,-1sin(-1x +5),-1sin(-1x +5),2,KS5_merged_deduped.jsonl:ks5_8d48ccb0e7:options[2] | KS5_merged_deduped.jsonl:ks5_ebc4c4555e:options[1]
it-CH,4c7c399b59b5ec901e56111b81cfe152e03591f82a7f4cfcf7ae9e8b13c51a68,-1sin(-1x +6),-1sin(-1x +6),1,KS5_merged_deduped.jsonl:ks5_4572e32a82:options[0]
it-CH,eb5c62623b371c2ee48a938596969f4df1bcfb181e5cd287276209f8d24045ec,-1sin(-1x -1),-1sin(-1x -1),2,KS5_merged_deduped.jsonl:ks5_be02e071a9:options[2] | KS5_merged_deduped.jsonl:ks5_f2dadbaa56:options[2]
it-CH,d71890c7f7f8392b443929f6f196fe222d8f6153044e9d10ec8584323c002f51,-1sin(-1x -2),-1sin(-1x -2),1,KS5_merged_deduped.jsonl:ks5_e8011a8b02:options[0]
it-CH,b637e9cdc3b975180655a8b1ba24e15fb2dab093a76473b80260dd3ee8a67dad,-1sin(-1x -3),-1sin(-1x -3),2,KS5_merged_deduped.jsonl:ks5_e9194ce5a6:options[1] | KS5_merged_deduped.jsonl:ks5_14eaf4dd1a:options[3]
it-CH,322b7560a0bd81b3997029787be90ae4919eda61de7ddeba1a01b128a8989ae0,-1sin(-1x -4),-1sin(-1x -4),1,KS5_merged_deduped.jsonl:ks5_2677e9d3eb:options[3]
it-CH,ea8dd8f7395455f7ca4084e8368ff469338cad6cbbb62eee84c338467fb6a15e,-1sin(-1x -5),-1sin(-1x -5),1,KS5_merged_deduped.jsonl:ks5_2d9af03d1c:options[3]
it-CH,37ebb12257f982c8796af93e860bb1c28387e038655c6d386e25009a5715c11f,-1sin(-1x -6),-1sin(-1x -6),1,KS5_merged_deduped.jsonl:ks5_eba8353286:options[2]
it-CH,54223900efc37c75219348260018e70d88220635705ff857448244f53fa71f8b,-1sin(1x +0),-1sin(1x +0),1,KS5_merged_deduped.jsonl:ks5_548374e29a:options[3]
it-CH,506a3fabe2444bbc44ddfc06fd7ed7211d6197ac303fc8ea669d45be36b4ca0f,-1sin(1x +1),-1sin(1x +1),1,KS5_merged_deduped.jsonl:ks5_d5c051a240:options[1]
it-CH,0e5eb2b7a797fd27ecab4cfa2b85e1e350adb18375d9c6a1adff210b18d4db04,-1sin(1x +2),-1sin(1x +2),1,KS5_merged_deduped.jsonl:ks5_3ee79090c0:options[2]
it-CH,9a25bf6f787bab0cc11815f51bd6dcbb924dc0ec872ec968ed59847b9397fc78,-1sin(1x +3),-1sin(1x +3),1,KS5_merged_deduped.jsonl:ks5_a6e4411ed1:options[2]
it-CH,fb2c78a03ae7ab06db46a798667f857abf0cc046dc0d867cae3385ee9b9c33c0,-1sin(1x +5),-1sin(1x +5),1,KS5_merged_deduped.jsonl:ks5_62071e9334:options[1]
it-CH,81df35f1195d3e94bf20105620d71351ea1c86dcfd95386f8700028e5213b9f7,-1sin(1x +6),-1sin(1x +6),1,KS5_merged_deduped.jsonl:ks5_7e65b3c4b2:options[3]
it-CH,943888cdd5a1f7cb9e62fafee38ec1ad037805426e5d5bed3f1badbf0f22932f,-1sin(1x -1),-1sin(1x -1),1,KS5_merged_deduped.jsonl:ks5_0ffe12ba0a:options[0]
it-CH,de3a9d184562271a7281f3d766b95f5631d6c73eba42abdf9f196ac39143532f,-1sin(1x -2),-1sin(1x -2),1,KS5_merged_deduped.jsonl:ks5_e783be6cfb:options[1]
it-CH,d8d9cd3756e76727441361f694b07d020fe1cec721841bf9e1036d8095c34082,-1sin(1x -3),-1sin(1x -3),1,KS5_merged_deduped.jsonl:ks5_b997394f44:options[3]
it-CH,06716b24d5f2e8037054b553483d7b5368436120c92dc65171946871587907d1,-1sin(1x -6),-1sin(1x -6),1,KS5_merged_deduped.jsonl:ks5_ba2773c1d6:options[1]
it-CH,f0fd127a1648cece355c54dd42193bb7e9a714f8a9d9b83338b08091baee7c10,-1sin(1x),-1sin(1x),4,KS5_merged_deduped.jsonl:ks5_diff_trig_4124396569953666842:options[3] | KS5_merged_deduped.jsonl:ks5_diff_trig_219248618981103483:options[2] | KS5_merged_deduped.jsonl:ks5_diff_trig_3653143867252413696:options[3]
it-CH,bd6c7ed56be5c6dbecc17fd342d6ce889bbd26eca007cc4082e5539762d6ad6e,-2cos(-2x +0),-2cos(-2x +0),2,KS5_merged_deduped.jsonl:ks5_c827663b35:options[2] | KS5_merged_deduped.jsonl:ks5_299527d953:options[3]
it-CH,268ea0387cc3ac7eae9acc1553785b5e9b6b47065ca719245b03629c0c0cf5a9,-2cos(-2x +1),-2cos(-2x +1),1,KS5_merged_deduped.jsonl:ks5_b96f2523fe:options[3]
it-CH,301cedcf5ab8c0a498af0453f3a3ce231e4732a6b82efba582b93d65ead37190,-2cos(-2x +2),-2cos(-2x +2),1,KS5_merged_deduped.jsonl:ks5_c874b053f2:options[2]
it-CH,bdfc3d2981c60421b9d2d446b50066e76975763eec16b9fe166845c7a12b8243,-2cos(-2x +3),-2cos(-2x +3),1,KS5_merged_deduped.jsonl:ks5_59bfa8e158:options[3]
it-CH,2cc058d6ca833c2de83477287773376ad6566d831ba3dd6b05b469d4f9ad4241,-2cos(-2x +4),-2cos(-2x +4),2,KS5_merged_deduped.jsonl:ks5_63f554c0e2:options[2] | KS5_merged_deduped.jsonl:ks5_734c7f2f86:options[2]
it-CH,8e44e23d228d1d90db86c3c6d9000720af105f26697368c9fa86432cfff51158,-2cos(-2x +5),-2cos(-2x +5),2,KS5_merged_deduped.jsonl:ks5_7e524cbbbd:options[3] | KS5_merged_deduped.jsonl:ks5_5cf8a92826:options[3]
it-CH,27625f4168cd3f941a3d9c0949be48762f4aaeb71914652e6016458c84b8a817,-2cos(-2x +6),-2cos(-2x +6),1,KS5_merged_deduped.jsonl:ks5_be1b05be31:options[1]
it-CH,db427dc6cf3f8fc6f6e342c89031ed9aef54f191b385038c963cf97843f4866e,-2cos(-2x -1),-2cos(-2x -1),2,KS5_merged_deduped.jsonl:ks5_577102f1ad:options[3] | KS5_merged_deduped.jsonl:ks5_b90bcaaeb0:options[0]
it-CH,d6ef2b444492d5032a21ea2a121b3fc399b839557ed9d0c9254d3a6d872af975,-2cos(-2x -2),-2cos(-2x -2),2,KS5_merged_deduped.jsonl:ks5_08a1ea004b:options[0] | KS5_merged_deduped.jsonl:ks5_f9e3a1ba5e:options[0]
it-CH,419a4b7aaba524c6ea8dd80908a7ad2f8d177a949de6ba3bd5fcb0acb82a8279,-2cos(-2x -3),-2cos(-2x -3),1,KS5_merged_deduped.jsonl:ks5_3bc006ed11:options[0]
it-CH,0593fe2a22b359b9257455cf1be83ad6f8516c4cf0577f7bddebc54475a383e9,-2cos(-2x -4),-2cos(-2x -4),1,KS5_merged_deduped.jsonl:ks5_618fd4bcb3:options[2]
it-CH,3ccd9fffc7a90494142da331b1667cf266b9d024723c0496eb13f9defabe5ec5,-2cos(-2x -5),-2cos(-2x -5),2,KS5_merged_deduped.jsonl:ks5_dc19d02e49:options[3] | KS5_merged_deduped.jsonl:ks5_0da637548a:options[1]
it-CH,48d7b9d69d3a057a3ff4484574f9a579811dee356836b26c9d763ad463afe2ef,-2cos(-2x -6),-2cos(-2x -6),2,KS5_merged_deduped.jsonl:ks5_426adbb728:options[3] | KS5_merged_deduped.jsonl:ks5_f9a03b7ece:options[1]
it-CH,8cd3fa5660c1a4ea18e71fd14a32d5a6bb6f18c09d8a561486aad55981a8600c,-2cos(2x +0),-2cos(2x +0),1,KS5_merged_deduped.jsonl:ks5_97234825ac:options[1]
it-CH,370fa23db9c730d6f2710bb91a9d66cdd9472862e7f2812a72c72040c8fe7fdc,-2cos(2x +1),-2cos(2x +1),1,KS5_merged_deduped.jsonl:ks5_3a96998850:options[0]
it-CH,3a54f4071abab273c334d07b8e1ac74312cc86cfb6c24642a6e134475d7fded0,-2cos(2x +2),-2cos(2x +2),1,KS5_merged_deduped.jsonl:ks5_5c5bff1902:options[0]
it-CH,f75767ac48cd9bdac502ba9d7f762cda824e0e1e59b0a653c9ff65832e538ec9,-2cos(2x +6),-2cos(2x +6),1,KS5_merged_deduped.jsonl:ks5_c7bcd8d0d3:options[2]
it-CH,704307332612ab2a96fe494c89696899564bdde8abdbf67ab93b4d4a01ea416d,-2cos(2x -1),-2cos(2x -1),1,KS5_merged_deduped.jsonl:ks5_acbcc4fc1b:options[3]
it-CH,38cec368dfcd26183dde2138b0c6f1e3ecc461c4ae3bc1b127bd2cd569c18f5f,-2cos(2x -3),-2cos(2x -3),1,KS5_merged_deduped.jsonl:ks5_8bc89b6368:options[0]
it-CH,fa3387b40358b5788caa716fb8f8c58153efd0d8d740a86783f92f8f295aab63,-2cos(2x -4),-2cos(2x -4),1,KS5_merged_deduped.jsonl:ks5_369f56a13f:options[0]
it-CH,a4ff750504df1e6a849944200e27205fb05fba009d67112a56462e217e95d9b7,-2cos(2x -5),-2cos(2x -5),1,KS5_merged_deduped.jsonl:ks5_ab8e386ed5:options[3]
it-CH,31cdf88ccc18c9811906bace35294d44e39f298aee8c0940e7a3f7772ac3f055,-2cos(2x -6),-2cos(2x -6),1,KS5_merged_deduped.jsonl:ks5_0e6b05aee8:options[2]
it-CH,59d2613e85a639bbfcacbb363068a239df11e369117d670cc375d2d3b6701fa1,-2cos(2x),-2cos(2x),2,KS5_merged_deduped.jsonl:ks5_diff_trig_2939596154135716043:options[0] | KS5_merged_deduped.jsonl:ks5_diff_trig_9121135327072591138:options[1]
it-CH,5e0e20f30d6b20f4f17fd02681c6165991c0f3f17491440b3727ce37e9cf16ea,-2ln(-2x +0),-2ln(-2x +0),1,KS5_merged_deduped.jsonl:ks5_daeb4eec96:options[2]
it-CH,1900e51b1d146490cfa040df0cc3d56d4350e343f928e10df892f4ebef4564ca,-2ln(-2x +1),-2ln(-2x +1),1,KS5_merged_deduped.jsonl:ks5_143ec94b00:options[1]
it-CH,dfb9f78b713ec57c3b8fb826982bc740cd4dcb436d56b6bea6e501eb63d665bb,-2ln(-2x +2),-2ln(-2x +2),1,KS5_merged_deduped.jsonl:ks5_cd9f093f2b:options[2]
it-CH,eec94794afe083232b8408efdcd4b0bddbbfab2e59a22cf9c424553d387f3b6b,-2ln(-2x +3),-2ln(-2x +3),1,KS5_merged_deduped.jsonl:ks5_941a3fb81f:options[1]
it-CH,2f8eebd593bc6bb35352c22d8a11f5e6b80183e0511a831e42cf524cb665dac8,-2ln(-2x +4),-2ln(-2x +4),1,KS5_merged_deduped.jsonl:ks5_6f2b984fed:options[0]
it-CH,08afd10e016d34f74968e96de98451002afb42786f414cbcf69900a4fe5fe0d9,-2ln(-2x +5),-2ln(-2x +5),1,KS5_merged_deduped.jsonl:ks5_44ab7a55f9:options[1]
it-CH,a13f97238b97e7083231278924d52a04a8aa43827be38bc6effa07a07f1df501,-2ln(-2x +6),-2ln(-2x +6),1,KS5_merged_deduped.jsonl:ks5_9a987d376d:options[2]
it-CH,7b14521de0c765aa7a1d2ebdc4cb5b38dcf0bade8693aae65eda9bb9c6bdf69f,-2ln(-2x -2),-2ln(-2x -2),1,KS5_merged_deduped.jsonl:ks5_835ec17cea:options[1]
it-CH,8af257c67234bb6776b8df0ed6d7ef595f4fca7db53b0113d660808cc48eed8f,-2ln(-2x -3),-2ln(-2x -3),1,KS5_merged_deduped.jsonl:ks5_236927c55a:options[2]
it-CH,59ba1f53e33ff3baafa318cb20b61c628af4f12d3e17d49faa00b711753baeb1,-2ln(-2x -4),-2ln(-2x -4),1,KS5_merged_deduped.jsonl:ks5_f4360127c4:options[0]
it-CH,d60305861ca7f5bfc6383162a6f73e30ce4349023709cc58d924cdf698011d80,-2ln(-2x -5),-2ln(-2x -5),1,KS5_merged_deduped.jsonl:ks5_8acae83c92:options[1]
it-CH,e9fff3628b9307d34045bf786d58c3922c49a20cfeb461ff669179da2b2e329f,-2ln(-2x -6),-2ln(-2x -6),1,KS5_merged_deduped.jsonl:ks5_f21b29723e:options[3]
it-CH,013368aef86afd4153baa5d77910e873d843d6388d49b9c77184de5510374c74,-2sin(-2x +0),-2sin(-2x +0),2,KS5_merged_deduped.jsonl:ks5_c827663b35:options[0] | KS5_merged_deduped.jsonl:ks5_299527d953:options[0]
it-CH,307d88a7a0f1c29e73c4c634bc9f22e31cb5353ac4bab0e3f0dfa36c00b7be33,-2sin(-2x +1),-2sin(-2x +1),1,KS5_merged_deduped.jsonl:ks5_b96f2523fe:options[0]
it-CH,9c001dabb1b6ef5670b74cdbf497ed5369bd537f38be735058241718df0ea1dc,-2sin(-2x +2),-2sin(-2x +2),1,KS5_merged_deduped.jsonl:ks5_c874b053f2:options[0]
it-CH,0e061f40e6a380dcc733e7c6fd1f782eab713fce51ec85dd9f18887905b531bd,-2sin(-2x +3),-2sin(-2x +3),1,KS5_merged_deduped.jsonl:ks5_59bfa8e158:options[0]
it-CH,3bb0e752239a22ba6df0d30efe82f4f06971462e71d6b7c98a884f8fa9a58331,-2sin(-2x +4),-2sin(-2x +4),2,KS5_merged_deduped.jsonl:ks5_63f554c0e2:options[3] | KS5_merged_deduped.jsonl:ks5_734c7f2f86:options[0]
it-CH,0dc6cb24ff2d539647d3750b6a0bc648c9cc05f8d0d936f571cf462e4dd92624,-2sin(-2x +5),-2sin(-2x +5),2,KS5_merged_deduped.jsonl:ks5_7e524cbbbd:options[1] | KS5_merged_deduped.jsonl:ks5_5cf8a92826:options[2]
it-CH,f95acdb974092d2adccefdd3b828fec12026549a4650b0052812e3e9a60b272b,-2sin(-2x +6),-2sin(-2x +6),1,KS5_merged_deduped.jsonl:ks5_be1b05be31:options[2]
it-CH,2adf3557a6d88dc97721feed6f39dff9d0dce7704648ef612372ccba50825209,-2sin(-2x -1),-2sin(-2x -1),2,KS5_merged_deduped.jsonl:ks5_577102f1ad:options[2] | KS5_merged_deduped.jsonl:ks5_b90bcaaeb0:options[1]
it-CH,ead782b8ea7d12859a46669979722eb6d2fc5f1d87293791ed9dc26509e8e76a,-2sin(-2x -2),-2sin(-2x -2),2,KS5_merged_deduped.jsonl:ks5_08a1ea004b:options[2] | KS5_merged_deduped.jsonl:ks5_f9e3a1ba5e:options[2]
it-CH,9edffea6dffec9303ce946be44fb339a843a5078c0b13587f52ea8421f349014,-2sin(-2x -3),-2sin(-2x -3),1,KS5_merged_deduped.jsonl:ks5_3bc006ed11:options[3]
it-CH,22b5be8e689cafd564eb03f5c1be22dc977daa67c0123881a84f6fe8d0b50f24,-2sin(-2x -4),-2sin(-2x -4),1,KS5_merged_deduped.jsonl:ks5_618fd4bcb3:options[3]
it-CH,1aa96065e5fa0c929ec134933de918eb90d5f17fedd0fa4c1bd7d6f28f80f0d8,-2sin(-2x -5),-2sin(-2x -5),2,KS5_merged_deduped.jsonl:ks5_dc19d02e49:options[2] | KS5_merged_deduped.jsonl:ks5_0da637548a:options[0]
it-CH,7086e43bef771c399a55b8a35f32af71c1336e06c6b953a8fc5e2f3ebc6691c5,-2sin(-2x -6),-2sin(-2x -6),2,KS5_merged_deduped.jsonl:ks5_426adbb728:options[0] | KS5_merged_deduped.jsonl:ks5_f9a03b7ece:options[0]
it-CH,34047dd5922e685865b8c3ef6f02eee0b4cb4afb35ba3132064c327287d77b64,-2sin(2x +2),-2sin(2x +2),1,KS5_merged_deduped.jsonl:ks5_142de71c5a:options[3]
it-CH,4590e84a5f195a2733fbca1b1d85583d6e645c0f2c69ccf7a9415d5615a11182,-2sin(2x +3),-2sin(2x +3),1,KS5_merged_deduped.jsonl:ks5_f63b88d927:options[2]
it-CH,b3e3d3ab74dc43379d20a729c5a9705dbbf5a0fac77aa317106626ca712079ac,-2sin(2x +4),-2sin(2x +4),1,KS5_merged_deduped.jsonl:ks5_8894a23ad5:options[1]
it-CH,499fb20c874629bd377ca7260a3314cf291cbee06832b96a800b7b833c8076c9,-2sin(2x +5),-2sin(2x +5),1,KS5_merged_deduped.jsonl:ks5_1dab29ff5e:options[2]
it-CH,4dbc2d5448a1179f8a8f39dfa28dadbae9b684e44e0d515e1c9a140b0543d36d,-2sin(2x -1),-2sin(2x -1),1,KS5_merged_deduped.jsonl:ks5_c46ce6098a:options[1]
it-CH,37069f606e70f863f4f32a9c5246c40b78ff80eb341e23f5e4f5d89d309995f6,-2sin(2x -2),-2sin(2x -2),1,KS5_merged_deduped.jsonl:ks5_ef16928a53:options[2]
it-CH,0866bad61b378b2a276ac0e24e91e2ae87d91f53cc41cf994eed010d87eea827,-2sin(2x -3),-2sin(2x -3),1,KS5_merged_deduped.jsonl:ks5_bb3c32b27f:options[0]
it-CH,d5fd958c059db2e87c9380e984187b9cfb1d8d7c4200078609dbaa5f5f5f6829,-2sin(2x),-2sin(2x),4,KS5_merged_deduped.jsonl:ks5_diff_trig_2939596154135716043:options[2] | KS5_merged_deduped.jsonl:ks5_diff_trig_5643506234383973990:options[2] | KS5_merged_deduped.jsonl:ks5_diff_trig_9121135327072591138:options[2]
it-CH,dc35172836f9c59e3fc01dc111efa2d946a6af5469a98155b2b955b8abd96731,-3cos(-3x +0),-3cos(-3x +0),2,KS5_merged_deduped.jsonl:ks5_6ea64c29c1:options[2] | KS5_merged_deduped.jsonl:ks5_f0cefc151d:options[1]
it-CH,d6da8d04978e0c9261ffbf95517efe2207a59da4c81d2d9bdc3122108033ee2a,-3cos(-3x +1),-3cos(-3x +1),2,KS5_merged_deduped.jsonl:ks5_130f75d9bd:options[1] | KS5_merged_deduped.jsonl:ks5_0aef1c6c8e:options[2]
it-CH,a4742c16bb56a11b4881d5f5eee239ee8965c0debb1483a58211202ab27b1c46,-3cos(-3x +2),-3cos(-3x +2),1,KS5_merged_deduped.jsonl:ks5_26af0785ed:options[1]
it-CH,deb53e39394cec8faf1964c9d2ebf9d759da0d87c1534883a8155cf9ce4428e2,-3cos(-3x +3),-3cos(-3x +3),1,KS5_merged_deduped.jsonl:ks5_f84ab83962:options[3]
it-CH,f601e718e221b1c7eb6d71e3b42a100a9b94732ccc68e645a8afe663ad94da54,-3cos(-3x +4),-3cos(-3x +4),1,KS5_merged_deduped.jsonl:ks5_1859df0fb7:options[1]
it-CH,153316a5ab949edfa8c4a6e2b625a1db349808db5ffb33c794c243893855bb55,-3cos(-3x +5),-3cos(-3x +5),1,KS5_merged_deduped.jsonl:ks5_d2b672218c:options[0]
it-CH,58f8e94758880dfec85030cb03708081554d7970209f3a392db5b35e05dad267,-3cos(-3x +6),-3cos(-3x +6),1,KS5_merged_deduped.jsonl:ks5_b603960a43:options[2]
it-CH,e77ac09826b8aca0823eae2bb41e03ff4c2fa386cd9dd7a12b0baea016ed217f,-3cos(-3x -1),-3cos(-3x -1),1,KS5_merged_deduped.jsonl:ks5_fda0af32de:options[2]
it-CH,e17ba17800800930ba038f4fa8c31bd9190bb09314fb98c9efc178212874053b,-3cos(-3x -2),-3cos(-3x -2),1,KS5_merged_deduped.jsonl:ks5_f16f6e8128:options[3]
