file,stage,skill,issue_type,count,recommended_fix
KS5_merged_deduped.jsonl,KS5,Differentiate exponentials & logs,DUPLICATE_OPTIONS,67,Remove the ** variant; keep the ^ variant. Replace removed option with a new distinct distractor.
KS4_merged_deduped.jsonl,KS4,Rearrange formulas,DUPLICATE_OPTIONS,50,Remove the ** variant; keep the ^ variant. Replace removed option with a new distinct distractor.
KS5_merged_deduped.jsonl,KS5,Moments & equilibrium,DUPLICATE_OPTIONS,49,Remove the ** variant; keep the ^ variant. Replace removed option with a new distinct distractor.
KS5_merged_deduped.jsonl,KS5,Differentiate trig functions,DUPLICATE_OPTIONS,43,Remove the ** variant; keep the ^ variant. Replace removed option with a new distinct distractor.
KS5_merged_deduped.jsonl,KS5,Integration by substitution,DUPLICATE_OPTIONS,37,Remove the ** variant; keep the ^ variant. Replace removed option with a new distinct distractor.
KS5_merged_deduped.jsonl,KS5,"Kinematics using calculus (v,a from s)",DUPLICATE_OPTIONS,34,Remove the ** variant; keep the ^ variant. Replace removed option with a new distinct distractor.
KS5_merged_deduped.jsonl,KS5,Product & quotient rule,DUPLICATE_OPTIONS,25,Remove the ** variant; keep the ^ variant. Replace removed option with a new distinct distractor.
KS5_merged_deduped.jsonl,KS5,Forces & Newton's laws,DUPLICATE_OPTIONS,21,Remove the ** variant; keep the ^ variant. Replace removed option with a new distinct distractor.
KS5_merged_deduped.jsonl,KS5,Radians + arc length/sector area,DUPLICATE_OPTIONS,18,Remove the ** variant; keep the ^ variant. Replace removed option with a new distinct distractor.
KS5_merged_deduped.jsonl,KS5,"Work, energy, power",DUPLICATE_OPTIONS,4,Remove the ** variant; keep the ^ variant. Replace removed option with a new distinct distractor.
KS5_merged_deduped.jsonl,KS5,SUVAT kinematics,DUPLICATE_OPTIONS,3,Remove the ** variant; keep the ^ variant. Replace removed option with a new distinct distractor.
KS5_merged_deduped.jsonl,KS5,Volumes of revolution (intro),DUPLICATE_OPTIONS,2,Remove the ** variant; keep the ^ variant. Replace removed option with a new distinct distractor.
KS5_merged_deduped.jsonl,KS5,Parametric differentiation,DUPLICATE_OPTIONS,1,Remove the ** variant; keep the ^ variant. Replace removed option with a new distinct distractor.
